rank_combined,fast_window,mid_window,slow_window,selection_style,final_count,strategy_nav,strategy_return_pct,max_drawdown_pct,target_buy_count,target_holding_days,target_signal_days,target_latest_in_basket,target_pnl_dollar,target_buy_cost,target_sell_proceeds,target_ending_market_value,target_pnl_rank,target_buy_count_rank,target_holding_days_rank,combined_score,latest_basket,notes
81,5,10,20,waterfall,20,1.1552017199219233,15.520171992192333,-17.526208246672837,5,33,43,False,10343.553461624222,254962.82616207076,265306.379623695,0.0,100,85,31,1349.642192231977,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.03696,
82,4,8,20,waterfall,10,1.208364763063725,20.83647630637251,-20.0368059562997,5,33,41,False,19714.10284776741,263665.9000493927,283380.0028971601,0.0,37,85,31,1346.8113909880017,HK.03317|HK.06166|HK.09696|HK.01888|HK.01772|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877,
83,4,8,20,waterfall,15,1.208364763063725,20.83647630637251,-20.0368059562997,5,33,41,False,19714.10284776741,263665.9000493927,283380.0028971601,0.0,37,85,31,1346.8113909880017,HK.03317|HK.06166|HK.09696|HK.01888|HK.01772|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877,
84,4,8,20,waterfall,20,1.208364763063725,20.83647630637251,-20.0368059562997,5,33,41,False,19714.10284776741,263665.9000493927,283380.0028971601,0.0,37,85,31,1346.8113909880017,HK.03317|HK.06166|HK.09696|HK.01888|HK.01772|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877,
85,4,8,20,dual_objective,10,1.204803988961753,20.480398896175302,-20.499723432808192,5,33,41,False,19756.173895991204,259719.0228316195,279475.1967276107,0.0,34,85,31,1346.5534267340354,HK.03317|HK.06166|HK.09696|HK.01888|HK.01772|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877,
86,4,8,20,dual_objective,15,1.204803988961753,20.480398896175302,-20.499723432808192,5,33,41,False,19756.173895991204,259719.0228316195,279475.1967276107,0.0,34,85,31,1346.5534267340354,HK.03317|HK.06166|HK.09696|HK.01888|HK.01772|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877,
87,4,8,20,dual_objective,20,1.204803988961753,20.480398896175302,-20.499723432808192,5,33,41,False,19756.173895991204,259719.0228316195,279475.1967276107,0.0,34,85,31,1346.5534267340354,HK.03317|HK.06166|HK.09696|HK.01888|HK.01772|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877,
88,6,12,30,er_over_vol,10,1.0948276886784802,9.482768867848023,-21.93951358693863,6,30,35,False,12472.965354877,311810.43672440335,324283.40207928035,0.0,85,64,46,1313.570753365318,HK.02618|HK.01428|HK.09926|HK.01288|HK.01877|HK.03750|HK.03896|HK.02252|HK.01548|HK.00470,
89,6,12,30,er_over_vol,15,1.0948276886784802,9.482768867848023,-21.93951358693863,6,30,35,False,12472.965354877,311810.43672440335,324283.40207928035,0.0,85,64,46,1313.570753365318,HK.02618|HK.01428|HK.09926|HK.01288|HK.01877|HK.03750|HK.03896|HK.02252|HK.01548|HK.00470,
90,6,12,30,er_over_vol,20,1.0948276886784802,9.482768867848023,-21.93951358693863,6,30,35,False,12472.965354877,311810.43672440335,324283.40207928035,0.0,85,64,46,1313.570753365318,HK.02618|HK.01428|HK.09926|HK.01288|HK.01877|HK.03750|HK.03896|HK.02252|HK.01548|HK.00470,
91,4,10,20,waterfall,10,1.217193697856227,21.7193697856227,-21.135890405295243,4,33,42,True,19573.834742801497,214155.5929453712,233729.4276881727,0.0,40,121,31,1312.3671676713136,HK.03317|HK.06166|HK.09696|HK.01888|HK.01772|HK.06869|HK.02252|HK.00522|HK.01729|HK.00470,
