date,variant,US.SNDK,HK.01888,HK.02513,US.WDC,US.MU,HK.00148,US.STX,US.BE,US.NBIS,US.TTMI
2022-09-12,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-13,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-14,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-15,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-16,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-19,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-20,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-21,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-22,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-23,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-26,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-27,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-28,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-29,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-09-30,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-03,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-04,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-05,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-06,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-07,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-10,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-11,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-12,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-13,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-14,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-17,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-18,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-19,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-20,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-21,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-24,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-25,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-26,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-27,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-28,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-10-31,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-01,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-02,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-03,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-04,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-07,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-08,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-09,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-10,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-11,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-14,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-15,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-16,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-17,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-18,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-21,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-22,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-23,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-24,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-25,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-28,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-29,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-11-30,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-01,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-02,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-05,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-06,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-07,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-08,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-09,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-12,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-13,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-14,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-15,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-16,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-19,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-20,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-21,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-22,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-23,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-27,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-28,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-29,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-12-30,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2023-01-03,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
